Text,Title,Rating
"3 start only for the build quality and 2 device pairing, the sound quality is good but not best the voice is crisp but not so loud base, the main drawback is passive touch system, this is ordinary touch not fingerprint recognised touch it means you will frustrate using this because it Play pause everytime mostly, I supposed to use this in gym but you cannot able to use it because the touch sensor is so sensitive means on every rap of bichaps it stop playing. Overall good product of they use fingerprint sensor and improve bass",The touch sensor is frustrating,3
"After 1 months usage I am writing this review.Pro:Quick charging just 40 mins.Good Sound quality and voice quality.Good noise cancelationLight weightEasy to use1 click swift switching ( in case of dual connectivity)Connectivity is good and quickly connects.Vibration alert is also good.Touch control is also good.Battery life is also good I don't know whether it is actually 35 hrs as I have not checked it, but normally after an usage of 14-15hrs daily mostly calls I tend to recharge it after 7 days.Sleek designCons:App should have been there to control or configure/ reset the device.Build quality is good but could have been better as plastic is used instead of metal.No other cons as of now.Overall its a good package, I love it as it has all the features which I ever wanted.I am satisfied with the product.",Decent Product by Noise.,4
"That product is just a gimmick, amazon should unlist it right now!!--> Rs.500 neckband sounds better then it--> No volume control--> Not sync with laptop volume control--> 1 touch button is its total ISP, it's worthless--> No music enjoy, it sounds feel quite sharp on ears all the time--> Heavy Buds.--> Not returnable, not refundable only replaceable.--> Zero rating from me, if amazon allows me to do that.--> All my user experiece went bad with this neckband and after 3 days its stop working.--> I wish to place a refund request but amazon allows only replacement.--> Replacement is still packed, I want my refund. Not going to use it again .--> Want my money back .",Total Garbage!!,1
"Sound quality is good better then boat, battery life is amazing you can easily use it for 2-3 day in a single charge but i found some issue on sensor sometimes it work sometimes not and when you are in one call and there is another incoming call on you phone so you can't able to recive it and there is some sensor issue.",Sound is balanced lovely sound but their is some sensor issue,3
"The volume levels are very bad. The range between two volume levels is too much. And when connected to laptops, there's just no way you can listen to anything at lower volumes, its too loud at volume level 1. And then it just goes blasting your ears.And the customer support is very poor. When a complaint is raised, there's just no communication apart from the automated replies that I got.But a major plus point would be the battery. It lasts a veryyyy long time with a single charge, lasts for 4-5 days.",Very bad volume control,1
" I m not a music enthusiast but i love the ease to use it.Pros:Easy to connectEasy and light weight to carryGood material qualityGood sound quality, okish noise cancellationType C charging portComfortable in earsCons:Not so good touch controlsSometimes little difficult to connectBattery doesnt last even a day, hardly 1.5 to 2 hrs","Superb, love it",4
"After using product for 3 months below is the reviewProsFast chargingBattery back upFast connect to previously connected deviceConsOverall weight slightly on higher sideOkayish noise cancellingIf you are in cozy position then high chances of triggering touch controlOverall i would say bang for buck, if you are looking for a neckband with fast charging, great battery backup & overall good sound go for this product. I have personally tried multiple products in this price range of all competitor brands but this one was best out of all of them.",Great product at this price,5
"I use a Bose AE Soundlink Headphones (for music & movies), AirPods (for voice calls and phone connect) and needed one that did a good job for meetings. This product really surprised me - for its features, for its functionality and for its quality. And within a week, I had to gift 2 of my colleagues, chose this almost spontaneously. So have bought 3 so far! So, why have I not rated them 5? The Sound quality can be a lot better - there's a very slight muffle that comes across. The touch controls are super sensitive - not designed for real use, so sensitive that even when I just adjust my collar or brush my cheeks, music starts playing, or call gets cut. The need to get that perfect, and I won't hesitate to rate them 5. Battery life is excellent, charging is nice and fast and its a great product, easily good to be priced higher!",Lovely product,4
"Got this for 1299 in great Indian sale.Product worked fine at the start. I may have used it for 4-5 hours within 15 days. Then suddenly the product stopped charging. I tried different chargers, different cables, still it is not charging.Service center people also confirmed about the product bug and manufacturing defect.The service center was giving on spot replacement for realme, 8-9 days replacement for boat products but the replacement product will be delivered at our address.But for noise, they took the earphones, gave me a slip and informed me that after 8-10 days when the company sends them the replacement, they will call me and I'll again have to travel 12 kms to collect the replaced earphones.",Worst earphones. Not working within 15 days of purchase,1
Item is working very well. its battery life is good not as company claim 35 hours in one full charge but good to use. Touch control is working nicely. Only one thing I miss that volume control in this item other wise product is so good to use. I m satisfy with this noise flair.,MUST BUY,5
"Reviewing after nearly a month of use.Like -Good balanced sound qualityLook good & premiumPerfect & steady fit in ears, doesn't looseEnough playtime - nearly 30-35 hrs as claimedFast charging - less than hourMIC quality is also goodCall vibration alert - best featureLatency - good oneSoft touch control.Dislike -No volume control, have to depend on mobile volume controlNeed to improve on noise cancellationTouch control - feather touch, other object touch like shirt collar also worksThe ear piece magnet quality needs improvement as it gets separated easily, thus turns on unnecessarily.Overall a good product at the price.  It should have been manufactured in India instead of China.Thanks.Review after 10 months of use....Suddenly the headset start getting disconnect from mobile bluetooth, had to reconnect again n again.  Complain online to Noise through their website.  They home picked the faulty device n replaced with another one nearly after 15-20 days since it was within warranty.  It doesn't look like a brand new headset but close to it.Now after using the new one for about a month, sometimes the volume lowers down; then I have to unpaid n repair again & it works fine.Apart from such bugs rest is ok.Thanks.",Very Good product,4
"The Product make is faulty, had 3 replacements done for this...waited to order the product but when received1. The right ear bud was cracking sound like in a faulty speaker2. Was completely dead on day2 after hardly any use3. Third replacement had left ear cracking soundExtremely disappointed when was eagerly looking forward to use this product....its a complete waste...",Faulty Make in 3 replacements,1
"It will get disconnect if the earbuds are attached or magnitised to each other then how are we supposed to get call vibration alert..showing some connection problems as well when it is moved from a statutory position.1. Bad sound quality (people will say that audio could be subjective. But I am certain that for music, these sound bad. If you really don't care about that, well, check the next point).2. The earbuds, as fancy and premium they look in the photos, are painful to put on in real life. Half an hour of usage and I found myself throwing them away. The buds were too large, and the rubber hook, too hard. Contrastingly, I own a Realme Buds Wireless (2 years old now), and I couldn't even feel I'm wearing it for long times.3. The touch button is a gimmick. Sometimes, it works. Sometimes it doesn't.","Gdqlty but 2 fetre is misin vol key,call vibration doesn't work ..wen the earbuds are detached",4
"I have used it for 2 days impressed with its function and suppressed due to below mentioned points. Worth to buy but be specific for your requirements.I got already used and teared box. With good amount of year wax in buds,😱🤮Good thingsGood functionGood battery 🔋8 min 7 to 8 hrs.Good for callGood for GamingOk ok built qualityOk ok sound qualityBad thingsCable needs to be strongVolume up down is not available (have to tell mobile by long press to up or down volume).Sound base thumping is missing.Do not compare with JBL or SONY for sound.Baki sab acha hai 😉",Not so good Not so bad,4
" It's a quality product but i don't feel it worthy, just before this i used another brand (like boat, etc etc) those are far more better than this actually its look, consistency, battery is better compared to other brands and noise cancellation is best thing in this but sound quality is not good to other brands. So i will not preferred anyone to buy this but in earphones sound quality is important to me. So i will buy any other brands which will be cheaper than this and provide a good sound quality. So if you want better sound quality then don't go for it. Thank you🥰",It's a good product but not worthy at all,4
"Just used for 3 days and giving review... Battery backup is good, Sound is also good and loud.... Its good for music.... But for calls not comfortable and not loud also very difficult to use in outside traffic.... Also after few minutes ears start etching or due to bulky design of ear buds start paining..... Not comfortable for calling as per my experience... For music sound is superb.......................... Updates after one month use it goes dead.... Stopped working no charging and no led blinks.... Total dead automatically.... Now have to register complain at noise portal and they have arranged for pick up my neckband through bluedart... But don't know what they will do repair or replace... God knows... Had same kind of experience with boult company they just send me back some other repaired product.... From 4 stars degrading to 2 for my mistake for ordering this product.....",Ok.. Ok.. product...,2
The product at this price is really worth. Very faster connectivity while connecting through bluetooth. Touch is working perfectly. Worth the money. The material of neckband is also skin friendly.Sound quality - It is very good at even lower volume the noise cancellation (cancels the environmental sound while listening to music or calls) is perfectly working.Battery life - long lasting one,"Must buy, the best!",5
" Absolutely the worst neckbands i've used till date. The specifications given by the brand looks good but only the battery life sums up to my expectations.The minimum volume on my device sounds like this on the neckband ( watch the video i've attached).This neckband Triggers headache within 30 minutes of listening.Sound is too loud and irritating bass is moderate noise cancellation is good. Battery life is good , one full charge goes one and a half day ( as per your usage).But what's good if the neckband has sound problems?!Go for the one plus bullets neckband range they provide absolute good features and has a good sound and battery range.","SOUND TOO LOUD , HURTS YOUR EAR",1
"Product is pretty goodQuality is averageVibration mode in headset, option to stop vibration in headset is not available so, those who purchasing this product must bare that irritating  vibration on shoulders or around neck on every incoming call, which can't be put to an endBattery backup is good, lasting for long time",Everything is good,4
Good Features:1. Quick connectivity2. No need to press any button for on/off3. Battery life is awesome which gives me full day calls and video access without rechargingAverage in:1. Bass Quality should be more better like BOULT (Which I'm using). Not good for this price2. Noise Cancellation should be more better compare to BOULT (which I'm using),Awesome Product,5
Error no. 1 the wire cant ve adjusted as in make it small or big as oer our needError no. 2 it won't turn off after few weeks of purchasedError  no. 3 it don't connect with multiple devices smoothly as my previous boult headphones doError no. 4 very bad buttons designAtlast just want to say if your budget is medium theb go for other products may be boat or boult but not this one.I regretted may be after you buy you too will do because they won't refund they will replace the other one but only after long and annoying process.,Honestly not good as described by seller...,2
"Product Quality:- No noise cancellation. if your using this on bike no use. your shirt collar also can operate the touch sensor.Service Experience:-I have purchase this product. In 2 to 3 month find out that right side earbud was not working. so launch service request on there website. The total process took almost 1 month. Pickup person took my headphone by hand. there was no box or packing. company and logistic people themself damaged my product and claimed that I have done this. No use of call discussion. They are just useless are there product.PLEASE DON""T BUY THIS PRODUCT. WASTE OF TIME AND MONEY.",will not recommend this to product to any one.,2
"Looks good, features awesome but sound quality is not that satisfactory, compared with boat rockerzz 335. Noice cancellation is very poor also music player sound lowered within a week of purchase when battery drained and not not increasing even after charged(it's locked I guess or software issue), call voice is okay. May be I received defective product., worst Bluetooth experienced ever. It has software issue I guess(gets enough load voice for beep ring and voice call but music volume lowers automatically after few days use) bought 2 models in gap of 12-13 days and both had same issue. Just after 20 days it's voice lowered for music. Waste of money","Buy boat rockerzz 335 than this, Worst experience on Amazon",1
" The product is truly amazing, I am writing this review after month of usage.It works totally fine, touch controls perfect, good quality material with premium look, stays petfectly balanced on neck, magnetic controls working fine, battery back up amazing - I have charged only 2 times since delivered and using everyday, takes very less time for charging.Also used in gym with lot of sweat, its fine in that environment not even problem with touch sensor in sweat.The only thing i was disappointed wad noise cancellation, but a talk on the phone didnt have any othr issue.Go for it.","Worth it, value for money.",4
"Minimum sound of the headphone is also quite high , if you want to listen to some good and soft music , this is not the product.Magnets are not that good and get s decoupled easily even in simple movement to keep it on table  , so headphone remains on without even you noticing it.Sound quality is good, noise cancellation is good.हेडफोन ची गुणवत्ता चांगली आहे, परंतु सर्वात कमी असलेला आवाज देखील खूप जास्त आहे. यामुळे जुनी, शांत गाणी ऐकण्यासाठी हा हेडफोन उत्तम नाही.हेडफोन चालू किंवा बंद करण्यासाठी चुंबक दिले गेले आहे मात्र हे चुंबक तितकेसे प्रभावी नाही. अगदी टेबल वर ठेवण्याच्या साध्या क्रियेत देखील हेडफोन वेगळे होतात आणि आपल्या नकळत चालू राहतात.",Feel to the ears,3
"Good but not best neckband in this price range. Sound quality is very good. Bass and treble balanced very fine. We can hear every beat clearly. Sound is enough when listening music but it's low during calls. Touch feature is average, sometimes works well sometime need to press twice or thrice. Battery backup is as per commitment. But in this price range it's ok. The only thing I didn't liked is noice cancellation feature. During calls the other side environment noice disturbs the voice. Look wise its premium and comfortable to wear. Overall its value for money but like it more if it comes with volume control feature.",Good choice neckband,4
Bahut backwash product hai riplesment ke bad bhi sarm nahi aayi phir se usase bhi ghatiya bhej diya yek kadm ki duri bhi call disconnect hone lagta hai paisa ki barbadi hai ye product manganese very very bad Maha ghatiya,eske bad Maha backwash riplesment bhi kiya aur ghatiya aaya hath me mobil rkho to connect hoga,2
I bought two earphones together OnePlus and noise . Noise pathetic . It's not working I returned it once and I got a replacement . But 2nd noise earphone it's also not working properly I want a refund but all they doing is replacement . I want my money back,Noise wireless earphone are pathetic,1
"After one month of use,Headphones figure Sensor not work properly, Sound quality is good but it decrease the mobile sound and self control volume as it has no buttons for volume +/- we have no control. It irritates me when this occurs. PLS provide volume button for +/- . This situation not occur during calling.I'm satisfied  with this product only because it's complete my need that's Battery Backup. As I only use for receiving call, it's Stays around 1 week with use of 12 hrs daily.",Not good option,3
"Pros:1. Its tech-savvy thing is awesome. Quickly connects to ur device.2. Put the buds together-OFF, seperate the buds-ON. Thats so cool!3. Sound... its toooo loud. I sometimes need a more lower noise than its minimum, really.4. Looks stylish.Cons:1. They say that is has the ""NOISE CANCELATION"" thing. But IT ISN'T REALLY THAT EFFECTIVE2. Feels a little heavy around the neck.",Nice product! Can be better.,4
It stoped charging and no physical buttons either to give it a try . I am confused what to do .Expected it to be a good product.  At last it became  worth less .hope the warranty will work like it's told . Hoping Amazon will guide me doing the procedure correct and make me feel that I have not got dumped with the decision of purchasing from Amazon .,The product what I got have lost its life within a month time .,1
"Right side of head phone is not working within 8 days of usage please don't buy bad quality and wire has a problem not a good strength might be the issue for not working.Within a week i had a call form noise and there was a women saying please reset the headphones by pressing the volume button but it does not have a volume button so how is it possible to do that, she replyed to me check our video of noise flare on youtube how to reset it will solve the problem its a waste of time to me and them please make the product  good have physically tested wire strength ,have some information about the product when you are talking to the customers about the problem and give right solution dont simply reply like an idiot. Waste customer service.Disadvantage of the product.It does not notify continuously if you are out of the range or disconnected( this feature is on BOULT headphone it notifys continuously even talk low battery idication in it good head phone i have used for more than three years)* it needs a physical button to off manually if you are using headphone inside the helmet if it disconnect to the phone you need to remove the headphone and stick to eachother to get ON its very irritating and doesn't has volume button.",Its not good quality products,1
"I got delivery on before one month now its not working... Worst kind of productPls dont buy this Bluetooth is not showing on any site, but light is onnoisE sense NBSIND 1121Sorry to say i heard lot about noise brand so i decided to purchase and i screwed my self i thinkI didn't knw noise is such a low class brand and worstIf i have purchased it from the local shop here i may can use it atleast for 6 mnthsCompletely disapointedI lost my 1000This is not noise this is nonsense",Worst brand,1
Best thing about this product are-1. Magnetic on off2. Excellent Bluetooth connectivity.3. Long battery life of 35 hrs which is highest till date and no concept of standby4. Fast charging.Other than that I found sound quality average and bass average.,Best Wireless earphone with magnetic on off,5
"Hello sir. This Noise Flair in Ear Bluetooth Neckband with touch controls version is Very Very Best Product and I m Very Happy with this product bicaz 1) Battery Life, 2) Bluetooth Connectivity, 3) Smart Paring, 4) Sound Quality, 5) Bulit Quality all Function is Good. But One More Function is Noise Cancelling I m not Happy with this Function and they work as normal Neckband.",Very Good Product,5
The entire experience was disgusting.... My earphones were faulty and Amazon didn't care to exchange it and gave excuses for it... Never ever buying anything from Amazon because they crossed their track record of giving faulty electronic devices.,Absolutely not satisfactory,1
"No words for design and sound. NC works good. Absence of physical buttons is a negative point. No volume controls. Touch sensors confusing sometimes. Call drops happened while neckturns sometimes. While laying in a bed and watching vedios, vedios getting Pause sometimes. Before I am using Noise Tune Charge. Compare to that Less weight and flawless design. Call vibrator alert is good while we are riding.After using this for a month now. Utterly disappointed now. Tune charge is far far better than this. Touch sensors are useless all the time. Absense of Volume button creating too much problems. ENC is not working. Otherside callers not getting my voice while riding.",Noise makers... Read this before u Buy...,2
THE PRODUCT IS OVERALL GOOD AFTER USING FOR LAST 3 MONTHS BUT ON THE DAY I GOT THE BOX I GOT DISAPPOINTED BECAUSE I GOT A CHEAP QUALITY PLASTIC BOX INSTEAD OF THE CARDBOARD BOX(AS SHOWN IN PRODUCT REVIEW). ALTHOUGH IT IS PROVIDED WITH ALL THE THINGS IT'S CHARGING CABLE IS TOO SMALL.BUT OVERALL THIS PRODUCT PROVED TO BE A GOOD BUY. AND THE DELIVERY WAS DONE QUICKLY.,IT IS GOOD BUT......,4
Extra ordinary performance in this price range. Value for every penny. Feel in the air with soft music without any stress. Noise has to optimise the bass for bass based songs to make Flair no.1.Wearing for longer time ear buds hurting the ear. Need to fix by noise.,Satisfies buyers interest in almost all segments,5
"Its not falut about amazon , thats faults noise service center ,or service issueI used my headphones thats some raised a problem pairingI compliant noise service center 1 st april then to they ticket raise now 9 days over no body pickup the headphones no option any others.Why they told its best service ?",I rated 2 star cause of noise service center issues,2
"The earphones worked well for 10 days and then the volume of both the earbuds dropped. Even at 100% volume it sounded like I was listening at 40% volume.Its definitely not well designed nor tested product.As it had past 7 days and replacement was not a possibility, I contacted the vendor as per the warranty guidelines and registered a complaint. They did set up a pick up of the product through Delhivery service, but have not yet given me a replacement of the product. The support ticket has no updates as well and no way to contact these guys via a call or IVR.Really a bad experience here.If you have the budget to buy these earphones then please don't. Use that money and get JBL, infinity, Sony, oneplus or even for that Matter Oppo.The above brands are way better.","If you have a budget to buy this, then rather go for JBL's or Sony's of the world.",1
"Battery Backup- UnbeatableCharging- Super fastConvenience- 1000/100 : unmatched to any other earphones I have ever usedLatency- 100 ms: These are NOT gaming earphones so nothing more should be expected. For gaming, their NeoShots 2 are just bang on!Built quality- Perfect!Touch controls- 99/100: I am a clumsy one so sometimes I mistakenly use the touch Id without knowing. However, the features and convenience is immaculate for a pioneer product in India.Pairing- 2 devices at a time, and super fast.Purpose- Perfect for anyone except gamers.Worth every buck.Overall, Kudos to Go Noise for this outstanding product. Totally love these, I don't even use my Apple airpods- that's the value the Noise Flair has had for me.",The best earphones ever! Worth every buck!,5
1) As per product promotions they have advertised that the Noise Flair will automattically detect BT device (in my case my Android Cellphone). But I have to always manually go to BT settings in my phone and select Noise product to connect; it never connects automatically.2) The sound is too too loud. Even at the least level of vol. (which is too high) I cannot further decrease bcos then it goes in mute status.3) The noise flair does not switch off even when the ear buds are connected together as advertised. I have to leave them as it is as a result the battery drains off.,Avoid buying.....only look trendy but not true as advertised,1
Comfort wise this is the best. No matter how long you keep it in your ears you will nvr notice its there. Battery backup is seriously good. But ppl could not hear clearly while riding bike with helmet. Touch has visible latency when it comes to changing the songs. Lack of volume controls is a clear drawback. Touch cannot differentiate between fingers and my shirt cloth or collar. so it messes up with the music play.,Good for music but I don't recommend it,3
"Got one for myself. Showed it to my brother, and he wanted one too. So, I ordered the same for him. Absolute pleasure! Great sound and instant, stable connectivity using Bluetooth. Indeed, this gives a great playback and talk time after just a short time of charging. The range is also really good. Definitely recommend the Noise Flair.",How good is this!,5
THIS Noise Flair IS WASTE OF MONEY AND NOT FOR CALLING AND TRAVELING PURPOSES ID ONLY FOR MUSIC ( DUAL MIC IS VERY POOR  )  ITS NOT CAOPTURING HUMAN VOICE APRT FROM THAT ALL NOISE THEY CAPTURE AND TRANSMITT TO CALLSVERY DIFFCULT TO USE IN CALLS BECOUSE OTHER PARTY NOT HAIR ANYTHING BECOUSE OF POOR AND DUAL MIC COMCEPTBAD PRODOCT MADE PHOOLS OF US.,THIS  IS WASTE OF MONEY AND NOT FOR CALLING AND TRAVELING PURPOSES ID ONLY FOR MUSIC,1
"The headphone its charging time, build quality is good however the headphone sound audio level is low on call (very difficult to hear) even the neckband vibration is intense.Horrible headphone in terms of audio and features.Literally need to struggle to hear other person voice would replace and share revised feedback.",Excellect battery life headphone with poor call audio quality,2
"Simply amazing neckband with huge battery life around 34 hours on 70% volume as noise says, and awesome sound quality, the low,mid and high are awesome but the sound is not much loud as compare to noise tune charge, it's 70 out of 100 with comparison with noise tunecharge. The call vibration is descent.. and for those people who says that it is not working with youtube... No, it's working, but first you should connect neckband with device and play video on YouTube and first you pause the video by your phone and play it again by your phone than you can continue with your neckband with youtube as you use with music player app.",The best neckband ever from noise...,5
"Don't buy this product plz. Initially I liked the product but after using it for 2 months, battery drains drastically . I charged it to 100% suddenly without using it ,battery dropped automatically to 71 % in disconnected mode. Also after 45% when I disconnected it and kept it in off mode , it was not even connecting at all next day. Battery is a big big issue here. Also with touch it does not have volume rockr facility to reduce or increase the volume . It's up to you if u want this or not.",Don't go for it,1
"It's a very good product, but isn't fit for use in a variety of conditions like workout, running etc. Just for very neat usage like office n movies on laptop n personal devices.Connectivity issue prevails. Everytime you should forget device & connect as new device.Bought in July, stopped working before End of December. No service available - Just use & throw",Stopped Working in 6 months,2
" I have purchased a noise flair Bluetooth neckband on amazon ,the sound quality and  the noise canellation of the buds was amazing and its waterproof quality also well build and it dose not do any error after its as been water splash while raining and sweat proof to and the issue I faced in it was the touch touch pad while canceling the call it takes little delay comparing to attenting the call but also the its was a nice neckband and also value for money..thats it.",Noise Flair,4
"I would have given a minus rating, but due to humanity and honesty i have given 2 rating for Sound quality and bass quality. You should not opt this if you are purchasing to make calls, you will regret later. Go for some other brands... In detail i already posted my review on youtube... Search with Noise Flair - Never buy this ❌|| One Plus usage review",Paisa barbad BC,1
